id,time,format
145,2011-09-19 18:30:00,Lecture
147,2011-10-17 18:30:00,Lecture
149,2011-11-21 18:30:00,Fishbowl
151,2011-12-19 18:30:00,Lecture
153,2012-01-16 18:30:00,Lecture
155,2012-02-20 18:30:00,Fishbowl
157,2012-03-19 18:30:00,Lecture
159,2012-04-16 18:30:00,Lecture
161,2012-05-21 18:30:00,Fishbowl
163,2012-06-18 18:30:00,Lecture
165,2012-07-16 18:30:00,Lecture
167,2012-08-20 18:30:00,Fishbowl
169,2012-09-17 18:30:00,Lecture
171,2012-10-15 18:30:00,Lecture
173,2012-11-19 18:30:00,Fishbowl
175,2012-12-17 18:30:00,Lecture
177,2013-01-21 18:30:00,Lecture
179,2013-02-18 18:30:00,Fishbowl
181,2013-03-18 18:30:00,Lecture
183,2013-04-15 18:30:00,Lecture
185,2013-05-20 18:30:00,Fishbowl
187,2013-06-17 18:30:00,Lecture
189,2013-07-15 18:30:00,Lecture
191,2013-08-19 18:30:00,Fishbowl
193,2013-09-16 18:30:00,Lecture
195,2013-10-21 18:30:00,Lecture
197,2013-11-18 18:30:00,Fishbowl
199,2013-12-16 18:30:00,Lecture
201,2014-01-20 18:30:00,Lecture
203,2014-02-17 18:30:00,Fishbowl
205,2014-03-17 18:30:00,Lecture
207,2014-04-21 18:30:00,Lecture
209,2014-05-19 18:30:00,Fishbowl
211,2014-06-16 18:30:00,Lecture
213,2014-07-21 18:30:00,Lecture
215,2014-08-18 18:30:00,Fishbowl
217,2014-09-15 18:30:00,Lecture
219,2014-10-20 18:30:00,Lecture
221,2014-11-17 18:30:00,Fishbowl
223,2014-12-15 18:30:00,Lecture
225,2015-01-19 18:30:00,Lecture
227,2015-02-16 18:30:00,Fishbowl
229,2015-03-16 18:30:00,Lecture
231,2015-04-20 18:30:00,Lecture
233,2015-05-18 18:30:00,Fishbowl
235,2015-06-15 18:30:00,Lecture
237,2015-07-20 18:30:00,Lecture
239,2015-08-17 18:30:00,Fishbowl
241,2015-09-21 18:30:00,Lecture
243,2015-10-19 18:30:00,Lecture
245,2015-11-16 18:30:00,Fishbowl
247,2015-12-21 18:30:00,Lecture
249,2016-01-18 18:30:00,Lecture
251,2016-02-15 18:30:00,Fishbowl
253,2016-03-21 18:30:00,Lecture
255,2016-04-18 18:30:00,Lecture
257,2016-05-16 18:30:00,Fishbowl
259,2016-06-20 18:30:00,Lecture
261,2016-07-18 18:30:00,Lecture
263,2016-08-15 18:30:00,Fishbowl
265,2016-09-19 18:30:00,Lecture
267,2016-10-17 18:30:00,Lecture
269,2016-11-21 18:30:00,Fishbowl
271,2016-12-19 18:30:00,Lecture
273,2017-01-16 18:30:00,Lecture
275,2017-02-20 18:30:00,Fishbowl
277,2017-03-20 18:30:00,Lecture
279,2017-04-17 18:30:00,Lecture
281,2017-05-15 18:30:00,Fishbowl
283,2017-06-19 18:30:00,Lecture
285,2017-07-17 18:30:00,Lecture
287,2017-08-21 18:30:00,Fishbowl
289,2017-09-18 18:30:00,
290,2017-10-16 18:30:00,
291,2017-11-20 18:30:00,
292,2017-12-18 18:30:00,
293,2018-01-15 18:30:00,
294,2018-02-19 18:30:00,
295,2018-03-19 18:30:00,
296,2018-04-16 18:30:00,
297,2018-05-21 18:30:00,
298,2018-06-18 18:30:00,
299,2018-07-16 18:30:00,
300,2018-08-20 18:30:00,
301,2018-09-17 18:30:00,
302,2018-10-15 18:30:00,
303,2018-11-19 18:30:00,
304,2018-12-17 18:30:00,
305,2019-01-21 18:30:00,
306,2019-02-18 18:30:00,
307,2019-03-18 18:30:00,
308,2019-04-15 18:30:00,
309,2019-05-20 18:30:00,
310,2019-06-17 18:30:00,
311,2019-07-15 18:30:00,
312,2019-08-19 18:30:00,
