id,meeting_id,name,title,url,twitter,twitter_avatar_url
66,181,Zach Briggs,Nobody Will Train You But You,twitter.com/theotherzach,,
67,181,Josh Walsh,Making our users feel great,twitter.com/joshwalsh,,
97,205,Mike Doel,Rake & Jim W.,http://www.neo.com/offices/columbus,,
68,183,RJ Osborne,Live Coding Du Jour,twitter.com/rjo1970,,
69,185,Jon Hogue,Newb Mongo Mistakes,twitter.com/jonhogue,,
70,185,Mike Danko,Zurb Foundation,twitter.com/mikedanko,,
71,185,Justin Searls,Lineman.js,testdouble.com,,
73,187,Alex Burkhart,Pry deep dive,https://twitter.com/Saterus,,
74,187,Mark Tareshawty,Something Awesome,https://twitter.com/tarebyte,,
75,187,Aly Fluckey,Taking Risks,https://twitter.com/WTFluckey,,
98,205,Matt JONES,EmberJS Conf talk,http://whomikejones.com/,,
99,207,Will Koehler,Deploying with Rubber,https://twitter.com/wckoehler,,
77,189,Matt Darby,Maker Manifesto,http://matt-darby.com,,
78,189,John Colvin,Challenging Each Other,https://twitter.com/jcolv,,
72,189,Kurt Mueller,Rails and AngularJS,https://github.com/KurtRMueller/SmartDeck,,
79,189,Mike Danko,Image processing in Ruby,https://twitter.com/mikedanko,,
100,207,Mike Danko,Deployment Stuff,http://mittdarko.com,,
80,189,Bradley Temple,FactoryGirl,https://github.com/DVG,,
81,189,Adam McCrea,Narcissism and my Dev Env,https://twitter.com/adamlogic,,
83,193,Jon Canady,Rails Security,https://twitter.com/joncanady,,
84,193,Greg Malcolm,Rails 4 Updates,https://twitter.com/GregMalcolm,,
82,193,Mark Lorenz,I See the Matrix (not a soft talk),https://twitter.com/Soodesune,,
85,195,Matt Jones,Dev Boot Camp Experiences,https://twitter.com/al2o3cr,,
86,195,Mike Danko,JRuby is AWESOME,https://twitter.com/mikedanko,,
87,195,Robert Juliano,Ruby DSLs,http://columbusrb.com,,
88,197,Robert Juliano,Roll Your Own Test Framework,http://columbusrb.com,,
89,199,Katy Exline,DBC Experience (Student),https://twitter.com/Kathryn_Ex,,
33,147,Matt Darby,The Art of Brewing,,,
34,147,Jon Canady,Basic intro to tmux,,,
35,147,Isaac Sanders,ReUser gem,,,
36,149,Justin Searls,Jasmine Tools,,,
37,149,Jonathan Hogue,Sinatra as CMS,,,
38,149,Alex Bartlow,Knockout.js Overview,,,
39,149,Isaac Sanders,Guard Overview,,,
40,151,Joe O'Brien,People Patterns,,,
41,151,Jon Hogue,Sinatra as CMS,,,
42,151,Isaac Sanders,Crafting a ruby gem,,,
43,153,Mark Lorenz,The Long Tail,,,
44,153,Jon Canady,Presenters in Rails discussion,,,
45,155,Magnus Stahre,git: History is written by the winners,,,
46,155,Matt Yoho,DCI: Silver Bullet of Rails Design?,,,
47,155,Matt Darby,New CRB Registration App,,,
48,155,Adam McCrea,The How and Why of the Rails Asset Pipeline,,,
49,157,Leon Gersing,TBD,,,
50,157,Matt Darby,Stubbing OAuth with Capybara,,,
51,157,Robert Juliano,CQRS and Event Sourcing,,,
52,159,Chandu Tennety,GraphViz and canviz.js,,,
53,159,Matt Darby,Rackspace is awesome,,,
54,159,Paul Cook,Evolution of a front-end App,,,
55,161,RJ,Work Environment Contrasts,,,
56,161,Matt Williams,Developer Best Practices,,,
57,161,Michael Covert,Hadoop and Ruby,,,
58,163,Matt Jones,Fun with Associations,,,
59,163,Len Jaffe,FriendlyID,,,
60,163,Chris Chandler,Using Thor outside of Rails,,,
61,163,Kevin Pfefferle,ChoreMonster Code/Tools Overview,,,
62,167,Zach Briggs,"Garbage In, Rainbows Out",,,
63,167,Isaac Sanders,Being a Better Apprentice,,,
64,167,Chris Chandler,Using Thor outside of Rails,,,
65,177,Zach Briggs,Fun with Chef,http://twitter.com/TheOtherZach,,
90,199,Alyssa Diaz,DBC Experience (Teacher),https://twitter.com/alycit,,
91,199,Dave Hoover,DBC Experience (Leader),https://twitter.com/davehoover,,
92,201,Alex Moore,Scaling data with Riak,https://twitter.com/alexmoore,,
